QUARTER,MONTH,DAY_OF_WEEK,CRS_DEP_TIME,DEP_DELAY,TAXI_OUT,TAXI_IN,CRS_ARR_TIME,ARR_DEL15,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY,DelayedDepartureSFO,ScheduledDepartureSFO,DelayedArrivalPHL,ScheduledArrivalPHL
1,1,7,13,34.0,47.0,6.0,22,1.0,0.0,2.0,9.0,0.0,32.0,0.0,1.0,2.0,10.0
4,10,4,13,2.0,38.0,3.0,21,0.0,0.0,0.0,0.0,0.0,0.0,11.0,20.0,8.0,39.0
3,8,2,8,-3.0,22.0,11.0,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,9.0
3,9,5,22,82.0,13.0,5.0,6,1.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,6,10,184.0,22.0,5.0,19,1.0,144.0,0.0,0.0,0.0,22.0,3.0,36.0,3.0,25.0
1,2,4,8,27.0,31.0,5.0,17,1.0,27.0,0.0,10.0,0.0,0.0,0.0,1.0,1.0,10.0
3,8,2,6,6.0,21.0,7.0,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,7,3,6,-4.0,23.0,4.0,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,7,3,11,10.0,33.0,14.0,19,1.0,0.0,0.0,18.0,0.0,10.0,0.0,0.0,0.0,0.0
3,9,4,11,-11.0,52.0,5.0,19,1.0,0.0,0.0,33.0,0.0,0.0,4.0,37.0,2.0,13.0
3,8,5,22,-5.0,31.0,10.0,7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,10.0
2,5,6,11,-5.0,24.0,7.0,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,8,4,11,50.0,25.0,4.0,19,1.0,2.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0
3,8,2,11,-7.0,43.0,6.0,19,1.0,0.0,0.0,20.0,0.0,0.0,4.0,45.0,0.0,5.0
2,4,4,22,66.0,17.0,6.0,7,1.0,4.0,0.0,4.0,0.0,46.0,0.0,3.0,5.0,15.0
